COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;5304;Loudéac;CHAR;4
CODGEO;Code géographique;Code géographique;5305;Saint-Brieuc;CHAR;4
CODGEO;Code géographique;Code géographique;5306;Brest;CHAR;4
CODGEO;Code géographique;Code géographique;5307;Carhaix-Plouguer;CHAR;4
CODGEO;Code géographique;Code géographique;5308;Morlaix;CHAR;4
CODGEO;Code géographique;Code géographique;5309;Quimper;CHAR;4
CODGEO;Code géographique;Code géographique;5310;Fougères;CHAR;4
CODGEO;Code géographique;Code géographique;5311;Redon;CHAR;4
CODGEO;Code géographique;Code géographique;5312;Rennes;CHAR;4
CODGEO;Code géographique;Code géographique;5313;Saint-Malo;CHAR;4
CODGEO;Code géographique;Code géographique;5314;Vitré;CHAR;4
CODGEO;Code géographique;Code géographique;5315;Lorient;CHAR;4
CODGEO;Code géographique;Code géographique;5316;Ploërmel;CHAR;4
CODGEO;Code géographique;Code géographique;5317;Pontivy;CHAR;4
CODGEO;Code géographique;Code géographique;5318;Vannes;CHAR;4
CODGEO;Code géographique;Code géographique;5401;Thouars - Loudun;CHAR;4
CODGEO;Code géographique;Code géographique;5402;Châtellerault;CHAR;4
CODGEO;Code géographique;Code géographique;5403;Angoulême;CHAR;4
CODGEO;Code géographique;Code géographique;5404;Jonzac - Barbezieux-Saint-Hilaire;CHAR;4
CODGEO;Code géographique;Code géographique;5405;Cognac;CHAR;4
CODGEO;Code géographique;Code géographique;5406;Saintes - Saint-Jean-d'Angely;CHAR;4
CODGEO;Code géographique;Code géographique;5407;Royan;CHAR;4
CODGEO;Code géographique;Code géographique;5408;Rochefort;CHAR;4
CODGEO;Code géographique;Code géographique;5409;La Rochelle;CHAR;4
CODGEO;Code géographique;Code géographique;5410;Niort;CHAR;4
CODGEO;Code géographique;Code géographique;5411;Parthenay;CHAR;4
CODGEO;Code géographique;Code géographique;5412;Bressuire;CHAR;4
CODGEO;Code géographique;Code géographique;5413;Poitiers;CHAR;4
CODGEO;Code géographique;Code géographique;7201;Bergerac;CHAR;4
CODGEO;Code géographique;Code géographique;7202;Périgueux;CHAR;4
CODGEO;Code géographique;Code géographique;7203;Sarlat-la-Canéda;CHAR;4
CODGEO;Code géographique;Code géographique;7204;Bordeaux;CHAR;4
CODGEO;Code géographique;Code géographique;7205;Libourne;CHAR;4
CODGEO;Code géographique;Code géographique;7206;Pauillac;CHAR;4
CODGEO;Code géographique;Code géographique;7207;La Teste-de-Buch;CHAR;4
CODGEO;Code géographique;Code géographique;7208;Dax;CHAR;4
CODGEO;Code géographique;Code géographique;7209;Agen;CHAR;4
