CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
01331;74;173;21210;;;;;;;;;;;;;;;;;;;;;;;;
01332;289;766;22440;;;;;;;;;;;;;;;;;;;;;;;;
01333;1384;3398;24430;65;;;;;;;;;;77.1;71.2;2.6;3.3;27.4;7.9;3;2;0.5;0.5;-15.4;15080;37760;2.5
01334;230;627;22550;;;;;;;;;;;;;;;;;;;;;;;;
01335;134;389;22010;;;;;;;;;;;;;;;;;;;;;;;;
01336;470;1164;22160;;;;;;;;;;;;;;;;;;;;;;;;
01337;516;1301;22270;;;;;;;;;;;;;;;;;;;;;;;;
01338;504;1235;21270;;;;;;;;;;;;;;;;;;;;;;;;
01339;561;1488;28910;;;;;;;;;;;;;;;;;;;;;;;;
01342;192;538;26170;;;;;;;;;;;;;;;;;;;;;;;;
01343;685;1770;21380;;;;;;;;;;;;;;;;;;;;;;;;
01344;2587;6084;23930;64;7;;;;;;;;21;67.4;60.8;1.9;4.7;35.2;10.8;3.7;1.9;1;0.8;-17.1;13710;40180;2.9
01345;961;2244;22120;55;;;;;;;;;;70.1;64.8;3.3;2;32.1;8.2;4;2.2;1.1;0.7;-14.4;13340;35040;2.6
01346;344;860;21910;;;;;;;;;;;;;;;;;;;;;;;;
01347;756;2064;26250;70;;;;;;;;;;79.8;70.9;2.6;6.3;24;12.1;2.2;1.6;0.3;0.3;-18.1;16090;43650;2.7
01348;1157;2762;21630;53;10;;;;;;;;;72.2;64.2;2.7;5.3;29.3;8.5;4.3;2.3;1.1;0.9;-14.3;12590;34140;2.7
01349;190;496;25510;;;;;;;;;;;;;;;;;;;;;;;;
01350;1074;2480;22690;58;;;;;;;;;;71.1;65.6;2.3;3.2;31.2;9.6;3.3;1.9;0.9;0.5;-15.2;13840;35710;2.6
01351;573;1561;22030;;;;;;;;;;;;;;;;;;;;;;;;
01352;225;572;20170;;;;;;;;;;;;;;;;;;;;;;;;
01353;613;1722;25210;;;;;;;;;;;;;;;;;;;;;;;;
01354;3963;9833;28900;41;18;;18;20;17;;;12;25;89.4;84.3;3.1;2;17.1;7.2;2.2;0.9;0.6;0.7;-15.9;8560;70400;8.2
01355;190;475;21640;;;;;;;;;;;;;;;;;;;;;;;;
