CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
1112;30022;73988;27220;72.8;5.3;12;6;5.9;5;5;;5;12.9;81.8;75.5;2.5;3.8;27.4;9.5;2.6;1.5;0.6;0.5;-21.3;15470;46560;3
1113;21185;55606;26320;72.1;8;12.5;8.2;9.3;8.6;5;;5;19.9;86.6;80.8;2.6;3.2;22.5;7.7;3.4;1.9;0.8;0.7;-20.2;13680;44790;3.3
1114;24750;61530;22180;60.1;11.4;17;14.9;12.4;10.5;8.1;5;5;25.9;77.8;71.5;2.8;3.5;26.5;7.9;5;2.5;1.5;1;-17.2;12090;36470;3
1115;130677;347517;21340;59;16.9;22.9;20.2;20;15.9;10.3;6.3;5.9;31.9;82.5;76.4;3.2;2.9;22.5;6.2;6.4;3;1.8;1.6;-17.6;10540;37470;3.6
1116;469490;1180353;26190;70.7;9.2;15.5;11.3;10.6;8.6;6;5;5;19.2;85.1;79.2;2.5;3.4;24;9.5;3.4;1.7;0.9;0.8;-22;13020;48630;3.7
1117;217860;567025;23110;64.6;12.5;17.5;14.6;14.3;12.3;8.5;6.2;5;24.5;82.8;76.2;3;3.6;24;7.6;4.9;2.4;1.4;1.1;-19.3;11770;40040;3.4
1118;201007;509648;19750;55.5;20.6;24.5;22.6;24.4;20.5;15.3;9.4;7.2;30.1;82.6;76.3;3.6;2.7;21.1;6;7.3;3;2.4;1.9;-17;9760;36190;3.7
1119;152720;404161;23010;63.3;12.5;18.1;14.3;14.2;11.8;8.9;6.5;5;25.4;85.2;78.8;3.3;3.1;21.6;6.3;5.2;2.6;1.4;1.2;-18.3;11740;39210;3.3
2101;95506;213981;18880;41.9;19.6;32.1;24.3;23.1;19;12.9;10.7;9.3;36.3;65.5;57.2;3.3;5;32;8.5;7.8;2.6;3.2;2;-13.8;10230;31910;3.1
2102;134773;299561;19840;47.5;16.2;27.3;20.7;19.2;15.5;10;7.4;6.9;32;67.7;57;3.3;7.4;31;10.2;6.7;2.5;2.4;1.8;-15.6;10860;34180;3.1
2103;44571;100467;20720;51.2;14.3;24.6;18.7;16.4;13.1;7.6;7.4;5.1;27.7;70.3;61.5;2.7;6.1;29.9;9.5;6;2.5;2;1.5;-15.7;11360;34600;3
2104;47709;106487;21750;57;11.6;19.7;14.4;13.5;11.2;7.4;6.2;5.4;24.7;72;54.4;2.7;14.9;27.9;14.4;4.2;1.8;1.4;1;-18.5;12160;39610;3.3
2105;149461;336488;20890;52;15.6;27.8;18.9;17.4;14.4;8.8;7.7;5;27.5;74.4;63.6;2.9;7.9;27;9.8;6.2;2.3;2.2;1.7;-17.4;10940;38160;3.5
2106;48905;104795;20260;46.5;13.1;20.7;15.4;15.3;13.2;8.7;10.4;7.5;26;65.1;56.5;2.6;6;35.1;8.5;5.3;2.1;2;1.2;-14;11750;32450;2.8
2107;48465;107760;19030;42.7;17.1;25.6;21.6;21.7;16.6;11.1;9.5;9;32.4;63.4;55.3;3.3;4.8;34.5;8.2;7.2;2.6;2.9;1.7;-13.3;10860;31210;2.9
2201;27718;66750;20280;51.1;14.4;22.3;17.2;16.6;15.3;8.9;6.3;7.3;30;72.1;61.5;3.2;7.4;28.1;9.8;5.8;2.7;1.8;1.3;-15.8;11230;34020;3
