CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
200073120;2772;5742;19610;44.3;21;;;26.3;21.2;16.8;;15.1;34;64.5;49.5;3.5;11.5;35.9;11.2;4.9;1.3;2.5;1.1;-16.5;9550;35740;3.7
200073138;2423;4845;18730;38.9;21.6;;;;;18.7;;15.8;32.7;57.3;45.6;3.1;8.6;41.9;8.9;5.8;1.3;3.3;1.2;-13.9;9690;33510;3.5
200073146;8000;16850;19960;43.9;15.3;;20;18.5;15;11;12.4;10.3;30.9;59.8;51.3;3;5.5;39.7;8.6;5.3;1.8;2.3;1.2;-13.4;11030;32490;2.9
200073161;16001;39732;22850;59.5;6.8;12.3;6.9;7.6;7.2;5;;5;16.5;76;69;2.5;4.5;28.5;8.7;3.7;2;1;0.7;-16.9;14080;37400;2.7
200073237;8497;21554;21880;53;8.1;;7.6;8;8.6;5.5;;5.1;20.4;77.8;70.3;2.8;4.7;25.3;7.8;4.1;2.4;1;0.7;-15;13450;34270;2.5
200073245;17769;37870;19540;43.3;16.2;29;22.5;19.6;16.7;9.3;9.1;8.1;31.1;60.7;50.4;3.8;6.5;35.5;12.6;6.2;2.1;2.4;1.7;-15;10780;33320;3.1
200073252;4671;9934;17850;37.5;24.5;;25.4;25.9;22.7;22.6;25.6;17.6;34.9;64.7;53.4;3.4;7.9;34.4;8.2;7.5;1.7;4;1.8;-14.8;9380;31940;3.4
200073260;24546;54718;19880;43.5;11.4;14.6;12.1;13.9;13.3;7.5;9.5;7.5;24.8;59.9;50.3;3.1;6.5;39.6;9;5.1;2.3;1.7;1.1;-13.6;12180;31530;2.6
200073344;32177;79707;27480;73.4;5.2;11.9;6.1;5.6;5;5;5;5;13;81.6;75.6;2.4;3.6;27.4;9.6;2.6;1.5;0.6;0.5;-21.2;15560;46930;3
200073393;7997;16470;18360;36.9;17.7;;18.8;21.6;19.5;12.1;16.8;13.9;31.2;56.1;44.1;2.9;9.1;39.4;10.8;6;2;2.7;1.3;-12.3;10660;29860;2.8
200073401;4749;10737;19810;41.4;12.7;;11.9;14.5;13;9.5;;9.5;24.9;64.3;54.2;2.7;7.4;33.7;9.7;5.1;2.4;1.7;1;-12.8;11780;30740;2.6
200073419;37123;79909;20110;44.9;12.9;22.4;13.9;15.8;13.1;8.2;10.3;7.3;26.5;64.2;54.4;2.7;7.1;34.1;10.4;6.1;2.2;2.4;1.5;-14.8;11720;33580;2.9
200073427;12733;31315;21200;46.8;8.5;;9.5;9.7;7.4;6.4;8;5.5;19.6;72.6;64;2.8;5.8;27.2;9.4;5;2.6;1.4;1;-14.2;13240;33750;2.5
