COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CODGEO;Code géographique;Code géographique;212;Dinan;CHAR;3
CODGEO;Code géographique;Code géographique;213;Hazebrouck;CHAR;3
CODGEO;Code géographique;Code géographique;214;Issoire;CHAR;3
CODGEO;Code géographique;Code géographique;215;Montbrison;CHAR;3
CODGEO;Code géographique;Code géographique;216;Auray;CHAR;3
CODGEO;Code géographique;Code géographique;217;Castelsarrasin;CHAR;3
CODGEO;Code géographique;Code géographique;218;Digne-les-Bains;CHAR;3
CODGEO;Code géographique;Code géographique;219;Mazamet;CHAR;3
CODGEO;Code géographique;Code géographique;220;Guingamp;CHAR;3
CODGEO;Code géographique;Code géographique;221;La Bresse;CHAR;3
CODGEO;Code géographique;Code géographique;222;Lunéville;CHAR;3
CODGEO;Code géographique;Code géographique;223;Figeac;CHAR;3
CODGEO;Code géographique;Code géographique;224;Lillebonne;CHAR;3
CODGEO;Code géographique;Code géographique;225;Autun;CHAR;3
CODGEO;Code géographique;Code géographique;226;Challans;CHAR;3
CODGEO;Code géographique;Code géographique;227;Château-Gontier-sur-Mayenne;CHAR;3
CODGEO;Code géographique;Code géographique;228;Saint-Marcellin;CHAR;3
CODGEO;Code géographique;Code géographique;229;Châteaubriant;CHAR;3
CODGEO;Code géographique;Code géographique;230;Pont-à-Mousson;CHAR;3
CODGEO;Code géographique;Code géographique;231;Châteaudun;CHAR;3
CODGEO;Code géographique;Code géographique;232;Oloron-Sainte-Marie;CHAR;3
CODGEO;Code géographique;Code géographique;233;Tergnier;CHAR;3
CODGEO;Code géographique;Code géographique;234;Gien;CHAR;3
CODGEO;Code géographique;Code géographique;235;Pontivy;CHAR;3
CODGEO;Code géographique;Code géographique;236;Penmarch;CHAR;3
CODGEO;Code géographique;Code géographique;237;Toul;CHAR;3
CODGEO;Code géographique;Code géographique;238;Argentan;CHAR;3
CODGEO;Code géographique;Code géographique;239;Bayeux;CHAR;3
CODGEO;Code géographique;Code géographique;240;Bagnols-sur-Cèze;CHAR;3
CODGEO;Code géographique;Code géographique;241;Agde;CHAR;3
CODGEO;Code géographique;Code géographique;242;Lourdes;CHAR;3
CODGEO;Code géographique;Code géographique;243;Remiremont;CHAR;3
CODGEO;Code géographique;Code géographique;244;Brignoles;CHAR;3
CODGEO;Code géographique;Code géographique;245;Saint-Brevin-les-Pins;CHAR;3
CODGEO;Code géographique;Code géographique;246;Saint-Amand-Montrond;CHAR;3
CODGEO;Code géographique;Code géographique;247;La Ferté-Bernard;CHAR;3
CODGEO;Code géographique;Code géographique;248;Castelnaudary;CHAR;3
CODGEO;Code géographique;Code géographique;249;Apt;CHAR;3
CODGEO;Code géographique;Code géographique;250;Chauny;CHAR;3
CODGEO;Code géographique;Code géographique;251;Saverne;CHAR;3
CODGEO;Code géographique;Code géographique;252;Privas;CHAR;3
CODGEO;Code géographique;Code géographique;253;L'Aigle;CHAR;3
CODGEO;Code géographique;Code géographique;254;Parthenay;CHAR;3
CODGEO;Code géographique;Code géographique;255;Villefranche-de-Rouergue;CHAR;3
CODGEO;Code géographique;Code géographique;256;Paimpol;CHAR;3
CODGEO;Code géographique;Code géographique;257;Sélestat;CHAR;3
CODGEO;Code géographique;Code géographique;258;Sarlat-la-Canéda;CHAR;3
CODGEO;Code géographique;Code géographique;259;Decazeville;CHAR;3
CODGEO;Code géographique;Code géographique;260;Bressuire;CHAR;3
CODGEO;Code géographique;Code géographique;261;Avranches;CHAR;3
CODGEO;Code géographique;Code géographique;262;Briançon;CHAR;3
CODGEO;Code géographique;Code géographique;263;Nogent-le-Rotrou;CHAR;3
CODGEO;Code géographique;Code géographique;264;Gray;CHAR;3
CODGEO;Code géographique;Code géographique;265;Foix;CHAR;3
CODGEO;Code géographique;Code géographique;266;Thiers;CHAR;3
CODGEO;Code géographique;Code géographique;267;Saint-Girons;CHAR;3
CODGEO;Code géographique;Code géographique;268;Caudry;CHAR;3
CODGEO;Code géographique;Code géographique;269;Issoudun;CHAR;3
CODGEO;Code géographique;Code géographique;270;Tarare;CHAR;3
CODGEO;Code géographique;Code géographique;271;Mende;CHAR;3
CODGEO;Code géographique;Code géographique;272;Sainte-Maxime;CHAR;3
CODGEO;Code géographique;Code géographique;273;Pornic;CHAR;3
CODGEO;Code géographique;Code géographique;274;Loudéac;CHAR;3
CODGEO;Code géographique;Code géographique;275;Coutances;CHAR;3
CODGEO;Code géographique;Code géographique;276;Carmaux;CHAR;3
CODGEO;Code géographique;Code géographique;277;La Flèche;CHAR;3
CODGEO;Code géographique;Code géographique;278;Senlis;CHAR;3
CODGEO;Code géographique;Code géographique;279;Les Herbiers;CHAR;3
CODGEO;Code géographique;Code géographique;280;Creutzwald;CHAR;3
CODGEO;Code géographique;Code géographique;281;Honfleur;CHAR;3
CODGEO;Code géographique;Code géographique;282;Le Grau-du-Roi;CHAR;3
CODGEO;Code géographique;Code géographique;283;Douarnenez;CHAR;3
CODGEO;Code géographique;Code géographique;284;Le Thillot;CHAR;3
CODGEO;Code géographique;Code géographique;285;Gaillac;CHAR;3
CODGEO;Code géographique;Code géographique;286;Louhans;CHAR;3
CODGEO;Code géographique;Code géographique;287;Avallon;CHAR;3
CODGEO;Code géographique;Code géographique;288;Fourmies;CHAR;3
CODGEO;Code géographique;Code géographique;289;Romilly-sur-Seine;CHAR;3
CODGEO;Code géographique;Code géographique;290;Mourenx;CHAR;3
CODGEO;Code géographique;Code géographique;291;Noyon;CHAR;3
CODGEO;Code géographique;Code géographique;292;Luxeuil-les-Bains;CHAR;3
CODGEO;Code géographique;Code géographique;293;Bernay;CHAR;3
CODGEO;Code géographique;Code géographique;294;Belley;CHAR;3
CODGEO;Code géographique;Code géographique;295;Bédarieux;CHAR;3
CODGEO;Code géographique;Code géographique;296;Limoux;CHAR;3
CODGEO;Code géographique;Code géographique;297;Yvetot;CHAR;3
CODGEO;Code géographique;Code géographique;298;Langres;CHAR;3
CODGEO;Code géographique;Code géographique;299;Pont-Saint-Esprit;CHAR;3
CODGEO;Code géographique;Code géographique;300;Bagnères-de-Bigorre;CHAR;3
CODGEO;Code géographique;Code géographique;301;Reichshoffen - Niederbronn-les-Bains;CHAR;3
CODGEO;Code géographique;Code géographique;302;Cosne-Cours-sur-Loire;CHAR;3
CODGEO;Code géographique;Code géographique;303;Champagnole;CHAR;3
CODGEO;Code géographique;Code géographique;304;Fumel;CHAR;3
CODGEO;Code géographique;Code géographique;305;Provins;CHAR;3
CODGEO;Code géographique;Code géographique;306;Rethel;CHAR;3
CODGEO;Code géographique;Code géographique;307;Bollène;CHAR;3
CODGEO;Code géographique;Code géographique;308;Ussel;CHAR;3
CODGEO;Code géographique;Code géographique;309;Crest;CHAR;3
CODGEO;Code géographique;Code géographique;310;Évron;CHAR;3
CODGEO;Code géographique;Code géographique;311;Brioude;CHAR;3
CODGEO;Code géographique;Code géographique;312;Saint-Jean-de-Maurienne;CHAR;3
CODGEO;Code géographique;Code géographique;313;Saint-Vincent-de-Tyrosse;CHAR;3
CODGEO;Code géographique;Code géographique;314;Bormes-les-Mimosas - Le Lavandou;CHAR;3
CODGEO;Code géographique;Code géographique;315;Saint-Claude;CHAR;3
CODGEO;Code géographique;Code géographique;316;Céret;CHAR;3
CODGEO;Code géographique;Code géographique;317;Pont-l'Abbé;CHAR;3
CODGEO;Code géographique;Code géographique;318;Langon;CHAR;3
CODGEO;Code géographique;Code géographique;319;Saint-Rémy-de-Provence;CHAR;3
CODGEO;Code géographique;Code géographique;320;Saint-Jean-d'Angély;CHAR;3
CODGEO;Code géographique;Code géographique;321;Quimperlé;CHAR;3
CODGEO;Code géographique;Code géographique;322;Chamonix-Mont-Blanc;CHAR;3
CODGEO;Code géographique;Code géographique;323;Le Luc;CHAR;3
CODGEO;Code géographique;Code géographique;324;Saint-Pol-de-Léon;CHAR;3
CODGEO;Code géographique;Code géographique;325;Porto-Vecchio;CHAR;3
CODGEO;Code géographique;Code géographique;326;Graulhet;CHAR;3
CODGEO;Code géographique;Code géographique;327;Pierrelatte;CHAR;3
CODGEO;Code géographique;Code géographique;328;Saint-Flour;CHAR;3
CODGEO;Code géographique;Code géographique;330;Neufchâteau;CHAR;3
CODGEO;Code géographique;Code géographique;331;Jarny;CHAR;3
CODGEO;Code géographique;Code géographique;332;Saint-Junien;CHAR;3
CODGEO;Code géographique;Code géographique;333;Orthez;CHAR;3
CODGEO;Code géographique;Code géographique;334;Migennes;CHAR;3
CODGEO;Code géographique;Code géographique;335;Sully-sur-Loire;CHAR;3
CODGEO;Code géographique;Code géographique;336;Châtillon-sur-Seine;CHAR;3
CODGEO;Code géographique;Code géographique;337;Carhaix-Plouguer;CHAR;3
CODGEO;Code géographique;Code géographique;338;Lavaur;CHAR;3
CODGEO;Code géographique;Code géographique;339;Biscarrosse;CHAR;3
CODGEO;Code géographique;Code géographique;340;Valserhône;CHAR;3
CODGEO;Code géographique;Code géographique;341;Lesneven;CHAR;3
CODGEO;Code géographique;Code géographique;342;Nérac;CHAR;3
CODGEO;Code géographique;Code géographique;343;Landivisiau;CHAR;3
CODGEO;Code géographique;Code géographique;344;Digoin;CHAR;3
CODGEO;Code géographique;Code géographique;345;Loches;CHAR;3
CODGEO;Code géographique;Code géographique;346;Lure;CHAR;3
