CODGEO;NBMENFISC17;NBPERSMENFISC17;MED17;PIMP17;TP6017;TP60AGE117;TP60AGE217;TP60AGE317;TP60AGE417;TP60AGE517;TP60AGE617;TP60TOL117;TP60TOL217;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;D117;D917;RD17
552;2381;4898;18480;39.1;19.3;;;23.5;;15.2;;10.5;36.1;54.5;46.5;3.5;4.5;42.7;9.1;6.8;1.9;3.1;1.8;-13.1;10400;30620;2.9
553;2430;4997;19970;46.6;13.1;;;;;;;;27.7;61.6;53.9;3.1;4.6;40.1;7.2;5.7;2.1;2.1;1.5;-14.6;11500;31130;2.7
554;2430;5196;19830;43.3;13.8;;;14.8;;;;7.3;24.6;68.4;60.3;3.1;5;31.2;7.8;7.1;2.7;2.6;1.8;-14.5;11870;31490;2.7
555;2677;6229;20660;45.1;9.2;;;;;;;6.1;21.1;70.5;61.4;3;6.1;30.3;7.9;4.8;2.5;1.4;0.9;-13.5;12940;30960;2.4
556;2528;5164;18900;38.9;17.7;;;;20.4;;;9.4;33.4;52.4;43.1;2.5;6.8;44.6;10.5;6.5;1.9;2.8;1.8;-14;10420;33230;3.2
557;2355;5497;20680;52.9;12.4;;;;;;;;20.4;76.6;70.6;3.5;2.5;25.8;6.6;5.3;2.2;1.8;1.3;-14.3;12020;33640;2.8
558;2700;5619;18940;40.1;17.6;;27.5;21.1;;;;7.8;32.5;61.6;51.9;3.3;6.4;35.4;9;7.4;2.1;3.1;2.2;-13.4;10810;32580;3
559;2132;4360;18560;42.2;19.1;;;;;;;8.7;36.1;60.1;51.5;2.9;5.7;38.1;8.3;7.7;2.1;3.5;2.1;-14.2;10140;31480;3.1
560;2429;5513;19560;43;14.9;;22.9;18.1;;;;8.2;29.4;61.7;54;3.1;4.6;36.6;7.7;6.6;2.8;2.3;1.5;-12.6;11080;31380;2.8
561;2868;6265;17620;34.4;20;;20.9;28.1;;;;11.7;31.3;58;50.6;4.2;3.2;37.4;7.2;9.3;2.9;4;2.4;-11.9;10380;27930;2.7
562;2187;5221;17730;37.4;23.6;;30.1;29.5;20.4;;;12.3;43.6;65.9;56.3;4;5.6;30.9;7.2;8.9;3.3;3.5;2.1;-12.9;10010;29830;3
563;2877;5612;17700;36.8;21.5;;30.9;30.2;25.9;14.2;;10.3;36.3;46.5;37.5;3.3;5.7;49.9;8.1;8.4;2;4.1;2.3;-12.9;9720;29210;3
564;2586;5179;18710;41.3;18;;;22.8;;;;;31.1;52.9;46.8;2.7;3.4;41.4;10.2;8.4;2.4;3.6;2.4;-12.9;10410;31150;3
565;2475;5113;19930;45.2;13.1;;;;;;;6.4;24.3;64.7;57.8;3.1;3.8;35.8;8;6;2.1;2.4;1.5;-14.5;11730;32060;2.7
566;2372;5603;18650;36;14.3;;19.7;17.8;;;;6.4;31.9;65.4;58;3.6;3.8;32.4;8.1;7.1;3.1;2.3;1.7;-13;11540;28410;2.5
567;2158;4635;21220;55;11.4;;;;;;;;21.8;67.7;59.9;3.1;4.7;34.9;8.2;3.5;1.7;1;0.8;-14.3;12020;32960;2.7
568;2284;4890;18560;38.4;19.5;;;24.3;;;;10.2;36;61.1;52.5;3.3;5.3;36.5;7.7;7.8;2.6;3.2;2;-13.1;10220;30450;3
569;2383;4780;23080;59.9;10.4;;;;;;;;15.5;50;40;3.3;6.7;46.5;21.1;2.8;1.1;1;0.7;-20.4;12490;42870;3.4
570;2345;5784;20590;49.1;12.8;;19.4;;;;;5.7;28.9;76.7;68.8;3.1;4.8;25.3;7.3;5.7;2.7;1.7;1.3;-15;11620;33920;2.9
571;2397;4548;18770;38.7;18.4;;;;;;;8.9;35.2;52.5;44.5;2.5;5.5;44.4;8.4;7.7;1.9;3.8;2;-13;10660;30860;2.9
